Date,Sleep,Wake,
12/01/2017,16,1,7.75
12/02/2017,19,-10,7.516666667
12/03/2017,-45,0,8.75
12/04/2017,8,1,7.883333333
12/05/2017,-23,-16,8.116666667
12/06/2017,-53,-3,8.833333333
12/07/2017,21,-1,7.633333333
12/08/2017,-17,1,8.3
12/09/2017,20,101,9.35
12/10/2017,19,-1,7.666666667
12/11/2017,8,1,7.883333333
12/12/2017,19,1,7.7
12/13/2017,9,1,7.866666667
12/14/2017,26,-4,7.5
12/15/2017,29,-9,7.366666667
12/16/2017,19,-7,7.566666667
12/17/2017,11,57,8.766666667
12/18/2017,46,-3,7.183333333
12/19/2017,-39,-7,8.533333333
12/20/2017,68,0,6.866666667
12/21/2017,34,1,7.45
12/22/2017,10,0,7.833333333
12/23/2017,15,1,7.766666667
12/24/2017,46,1,7.25
12/25/2017,48,-8,7.066666667
12/26/2017,9,1,7.866666667
12/27/2017,-17,122,10.31666667
12/28/2017,15,1,7.766666667
12/29/2017,-1,58,8.983333333
12/30/2017,-7,128,10.25
12/31/2017,27,86,8.983333333
01/01/2018,-21,2,8.383333333
01/02/2018,21,-4,7.583333333
01/03/2018,43,1,7.3
01/04/2018,-5,25,8.5
01/05/2018,11,-10,7.65
01/06/2018,20,60,8.666666667
01/07/2018,27,1,7.566666667
01/08/2018,44,1,7.283333333
01/09/2018,52,108,8.933333333
01/10/2018,87,1,6.566666667
01/11/2018,23,0,7.616666667
01/12/2018,44,1,7.283333333
1/13/2018,-44,1,8.75
1/14/2018,41,1,7.333333333
1/15/2018,10,0,7.833333333
1/16/2018,8,0,7.866666667
1/17/2018,-10,-3,8.116666667
1/18/2018,43,-5,7.2
1/19/2018,21,-7,7.533333333
1/20/2018,14,140,10.1
1/21/2018,25,-57,6.633333333
1/22/2018,19,-1,7.666666667
1/23/2018,48,1,7.216666667
1/24/2018,3,-1,7.933333333
1/25/2018,-13,-6,8.116666667
1/26/2018,53,1,7.133333333
1/27/2018,42,195,10.55
1/28/2018,9,-29,7.366666667
1/29/2018,-14,0,8.233333333
1/30/2018,-1,-1,8
1/31/2018,10,1,7.85
02/01/2018,0,-18,7.7
02/02/2018,-25,1,8.433333333
